contract,gate,tier,horizon,n_events,n_scored,n_correct,accuracy,wilson_lo,wilson_hi,z_vs_half
RTY,B,primary,6,1468,1438,698,0.4853963838664812,0.4596379763555916,0.5112326074086229,-1.1075665917747701
RTY,B,primary,12,1468,1443,694,0.48094248094248093,0.4552480873607189,0.5067380724464309,-1.4478698478548058
RTY,B,secondary,1,1486,1413,698,0.49398443029016276,0.46796762631143796,0.5200338540982686,-0.45224923453165383
RTY,B,secondary,3,1486,1435,677,0.47177700348432056,0.44605824633684676,0.49764646170903515,-2.1382528932612415
RTY,B,secondary,6,1486,1457,711,0.48798901853122856,0.4623880689682142,0.5136531367432837,-0.9169344048589302
RTY,B,secondary,12,1486,1454,706,0.4855570839064649,0.45993954218548877,0.5112507407181299,-1.1014558329124913
RTY,C,primary,1,1327,1283,616,0.48012470771628996,0.4528871465011106,0.5074809317493849,-1.4238257663557095
RTY,C,primary,3,1327,1298,622,0.47919876733436056,0.4521230120234536,0.5063972827220239,-1.4988439304640953
RTY,C,primary,6,1327,1293,619,0.47873163186388246,0.45160630045408456,0.5059829641195394,-1.5295491149266598
RTY,C,primary,12,1327,1287,628,0.48795648795648794,0.4607241584766017,0.5152604988272306,-0.8641167436739952
RTY,C,secondary,1,1456,1398,653,0.4670958512160229,0.441068687781872,0.49330334878394944,-2.460561597735727
RTY,C,secondary,3,1456,1426,681,0.47755960729312763,0.4517295719551175,0.5035102208168825,-1.6948068522636033
RTY,C,secondary,6,1456,1427,696,0.4877365101611773,0.46186989649183635,0.5136689727628699,-0.9265226865639006
RTY,C,secondary,12,1456,1427,681,0.4772249474421864,0.4514056000577878,0.5031665857009523,-1.7206849893329594
